103,Latitude,Longitude,School,Date,Charges,
2,40.8075,-73.9626,Columbia,4/30/24,"Burg-3:illeg Entry With Intent, Obstruct Governmentl Admin-2nd",-73.9626
3,40.8075,-73.9626,Columbia,4/30/24,"Burg-3:illeg Entry With Intent, Obstruct Governmentl Admin-2nd",
76,40.8075,-73.9626,Columbia,5/1/24,"Burglary 3rd, illegal entry with intent",
79,40.8075,-73.9626,Columbia,5/1/24,"Burglary 3rd, illegal entry with intent",
1,40.8075,-73.9626,Columbia,4/30/24,"Burglary 3rd, illegal entry with intent",
104,40.8075,-73.9626,Columbia,5/1/24,"Burglary 3rd, illegal entry with intent",
4,40.8075,-73.9626,Columbia,4/30/24,"Burglary 3rd, illegal entry with intent",
5,40.8075,-73.9626,Columbia,4/30/24,"Burglary 3rd, Illegal Entry with Intent",
6,40.8075,-73.9626,Columbia,4/30/24,"Burglary 3rd, illegal Entry With Intent, Obstruct Governmentl Admin-2nd",
7,40.8075,-73.9626,Columbia,4/30/24,"Burglary, Criminal Mischief, Conspiracy, Criminal Trespass",
131,40.8075,-73.9626,Columbia,5/1/24,Criminal trespass 3rd enclosed prop,
8,40.8075,-73.9626,Columbia,4/30/24,Criminal trespass 3rd enclosed prop,
9,40.8075,-73.9626,Columbia,4/30/24,Criminal trespass 3rd enclosed prop,
10,40.8075,-73.9626,Columbia,4/30/24,Criminal trespass 3rd enclosed prop,
11,40.8075,-73.9626,Columbia,4/30/24,Criminal trespass 3rd enclosed prop,
12,40.8075,-73.9626,Columbia,4/30/24,Criminal trespass 3rd enclosed prop,
13,40.8075,-73.9626,Columbia,4/30/24,Criminal trespass 3rd enclosed prop,
14,40.8075,-73.9626,Columbia,4/30/24,Criminal trespass 3rd enclosed prop,
15,40.8075,-73.9626,Columbia,4/30/24,Criminal trespass 3rd enclosed prop,
16,40.8075,-73.9626,Columbia,4/30/24,Criminal trespass 3rd enclosed prop,
17,40.8075,-73.9626,Columbia,4/30/24,Criminal trespass 3rd enclosed prop,
18,40.8075,-73.9626,Columbia,4/30/24,Criminal trespass 3rd enclosed prop,
19,40.8075,-73.9626,Columbia,4/30/24,Criminal trespass 3rd enclosed prop,
20,40.8075,-73.9626,Columbia,4/30/24,Criminal trespass 3rd enclosed prop,
21,40.8075,-73.9626,Columbia,4/30/24,Criminal trespass 3rd enclosed prop,
22,40.8075,-73.9626,Columbia,4/30/24,Criminal trespass 3rd enclosed prop,
23,40.8075,-73.9626,Columbia,4/30/24,Criminal trespass 3rd enclosed prop,
24,40.8075,-73.9626,Columbia,4/30/24,Criminal trespass 3rd enclosed prop,
25,40.8075,-73.9626,Columbia,4/30/24,Criminal trespass 3rd enclosed prop,
26,40.8075,-73.9626,Columbia,4/30/24,Criminal trespass 3rd enclosed prop,
27,40.8075,-73.9626,Columbia,4/30/24,Criminal trespass 3rd enclosed prop,
28,40.8075,-73.9626,Columbia,4/30/24,Criminal trespass 3rd enclosed prop,
29,40.8075,-73.9626,Columbia,4/30/24,Criminal trespass 3rd enclosed prop,
30,40.8075,-73.9626,Columbia,4/30/24,Criminal trespass 3rd enclosed prop,
31,40.8075,-73.9626,Columbia,4/30/24,Criminal trespass 3rd enclosed prop,
32,40.8075,-73.9626,Columbia,4/30/24,Criminal trespass 3rd enclosed prop,
33,40.8075,-73.9626,Columbia,4/30/24,Criminal trespass 3rd enclosed prop,
34,40.8075,-73.9626,Columbia,4/30/24,Criminal trespass 3rd enclosed prop,
35,40.8075,-73.9626,Columbia,4/30/24,Criminal trespass 3rd enclosed prop,
36,40.8075,-73.9626,Columbia,4/30/24,Criminal trespass 3rd enclosed prop,
37,40.8075,-73.9626,Columbia,4/30/24,Criminal trespass 3rd enclosed prop,
38,40.8075,-73.9626,Columbia,4/30/24,Criminal trespass 3rd enclosed prop,
39,40.8075,-73.9626,Columbia,4/30/24,Criminal trespass 3rd enclosed prop,
40,40.8075,-73.9626,Columbia,4/30/24,Criminal trespass 3rd enclosed prop,
41,40.8075,-73.9626,Columbia,4/30/24,Criminal trespass 3rd enclosed prop,
42,40.8075,-73.9626,Columbia,4/30/24,Criminal trespass 3rd enclosed prop,
43,40.8075,-73.9626,Columbia,4/30/24,Criminal trespass 3rd enclosed prop,
44,40.8075,-73.9626,Columbia,4/30/24,Criminal trespass 3rd enclosed prop,
45,40.8075,-73.9626,Columbia,4/30/24,Criminal trespass 3rd enclosed prop,
46,40.8075,-73.9626,Columbia,4/30/24,Criminal trespass 3rd enclosed prop,
47,40.8075,-73.9626,Columbia,4/30/24,Criminal trespass 3rd enclosed prop,
48,40.8075,-73.9626,Columbia,4/30/24,Criminal trespass 3rd enclosed prop,
49,40.8075,-73.9626,Columbia,4/30/24,Criminal trespass 3rd enclosed prop,
100,40.8075,-73.9626,Columbia,5/1/24,Criminal trespass 3rd enclosed prop,
101,40.8075,-73.9626,Columbia,5/1/24,Criminal trespass 3rd enclosed prop,
113,40.8075,-73.9626,Columbia,5/1/24,trespass,
73,40.8075,-73.9626,Columbia,5/1/24,Unknown,
75,40.8075,-73.9626,Columbia,5/1/24,Unknown,
81,40.8075,-73.9626,Columbia,5/1/24,Unknown,
82,40.8075,-73.9626,Columbia,5/1/24,Unknown,
83,40.8075,-73.9626,Columbia,5/1/24,Unknown,
85,40.8075,-73.9626,Columbia,5/1/24,Unknown,
87,40.8075,-73.9626,Columbia,5/1/24,Unknown,
105,40.8075,-73.9626,Columbia,5/1/24,Unknown,
106,40.8075,-73.9626,Columbia,5/1/24,Unknown,
107,40.8075,-73.9626,Columbia,5/1/24,Unknown,
108,40.8075,-73.9626,Columbia,5/1/24,Unknown,
109,40.8075,-73.9626,Columbia,5/1/24,Unknown,
110,40.8075,-73.9626,Columbia,5/1/24,Unknown,
111,40.8075,-73.9626,Columbia,5/1/24,Unknown,
112,40.8075,-73.9626,Columbia,5/1/24,Unknown,
114,40.8075,-73.9626,Columbia,5/1/24,Unknown,
115,40.8075,-73.9626,Columbia,5/1/24,Unknown,
116,40.8075,-73.9626,Columbia,5/1/24,Unknown,
117,40.8075,-73.9626,Columbia,5/1/24,Unknown,
118,40.8075,-73.9626,Columbia,5/1/24,Unknown,
119,40.8075,-73.9626,Columbia,5/1/24,Unknown,
120,40.8075,-73.9626,Columbia,5/1/24,Unknown,
121,40.8075,-73.9626,Columbia,5/1/24,Unknown,
122,40.8075,-73.9626,Columbia,5/1/24,Unknown,
123,40.8075,-73.9626,Columbia,5/1/24,Unknown,
124,40.8075,-73.9626,Columbia,5/1/24,Unknown,
125,40.8075,-73.9626,Columbia,5/1/24,Unknown,
126,40.8075,-73.9626,Columbia,5/1/24,Unknown,
127,40.8075,-73.9626,Columbia,5/1/24,Unknown,
128,40.8075,-73.9626,Columbia,5/1/24,Unknown,
129,40.8075,-73.9626,Columbia,5/1/24,Unknown,
130,40.8075,-73.9626,Columbia,5/1/24,Unknown,
132,40.8075,-73.9626,Columbia,5/1/24,Unknown,
133,40.8075,-73.9626,Columbia,5/1/24,Unknown,
134,40.8075,-73.9626,Columbia,5/1/24,Unknown,
135,40.8075,-73.9626,Columbia,5/1/24,Unknown,
136,40.8075,-73.9626,Columbia,5/1/24,Unknown,
137,40.8075,-73.9626,Columbia,5/1/24,Unknown,
138,40.8075,-73.9626,Columbia,5/1/24,Unknown,
139,40.8075,-73.9626,Columbia,5/1/24,Unknown,
140,40.8075,-73.9626,Columbia,5/1/24,Unknown,
141,40.8075,-73.9626,Columbia,5/1/24,Unknown,
142,40.8075,-73.9626,Columbia,5/1/24,Unknown,
143,40.8075,-73.9626,Columbia,5/1/24,Unknown,
144,40.8075,-73.9626,Columbia,5/1/24,Unknown,
145,40.8075,-73.9626,Columbia,5/1/24,Unknown,
146,40.8075,-73.9626,Columbia,5/1/24,Unknown,
147,40.8075,-73.9626,Columbia,5/1/24,Unknown,
148,40.8075,-73.9626,Columbia,5/1/24,Unknown,
149,40.8075,-73.9626,Columbia,5/1/24,Unknown,
150,40.8075,-73.9626,Columbia,5/1/24,Unknown,
151,40.8075,-73.9626,Columbia,5/1/24,Unknown,
152,40.8075,-73.9626,Columbia,5/1/24,Unknown,
153,40.8075,-73.9626,Columbia,5/1/24,Unknown,
154,40.8075,-73.9626,Columbia,5/1/24,Unknown,
155,40.8075,-73.9626,Columbia,5/1/24,Unknown,
156,40.8075,-73.9626,Columbia,5/1/24,Unknown,
157,40.8075,-73.9626,Columbia,5/1/24,Unknown,
158,40.8075,-73.9626,Columbia,5/1/24,Unknown,
159,40.8075,-73.9626,Columbia,5/1/24,Unknown,
160,40.8075,-73.9626,Columbia,5/1/24,Unknown,
161,40.8075,-73.9626,Columbia,5/1/24,Unknown,
162,40.8075,-73.9626,Columbia,5/1/24,Unknown,
163,40.8075,-73.9626,Columbia,5/1/24,Unknown,
165,40.8075,-73.9626,Columbia,5/1/24,Unknown,
164,40.8075,-73.9626,Columbia ,5/1/24,Unknown,
169,40.8075,-73.9626,Columbia ,5/1/24,Unknown,
102,40.7509,-73.9735,CUNY,5/1/24,"Burg-3:illeg Entry With Intent, Obstruct Governmentl Admin-2nd",
174,40.7509,-73.9735,CUNY,5/1/24,"Burg-3:illeg Entry With Intent, Obstruct Governmentl Admin-2nd",
175,40.7509,-73.9735,CUNY,5/1/24,"Burg-3:illeg Entry With Intent, Obstruct Governmentl Admin-2nd",
176,40.7509,-73.9735,CUNY,5/1/24,"Burg-3:illeg Entry With Intent, Obstruct Governmentl Admin-2nd",
180,40.7509,-73.9735,CUNY,5/1/24,Burglary 3rd,
78,40.7509,-73.9735,Cuny,5/1/24,"Burglary 3rd, illegal entry with intent",
80,40.7509,-73.9735,Cuny,5/1/24,"Burglary 3rd, illegal entry with intent",
167,40.7509,-73.9735,CUNY,5/1/24,Burglary in 3rd degree,
168,40.7509,-73.9735,CUNY,5/1/24,Burglary in 3rd degree,
170,40.7509,-73.9735,CUNY,5/1/24,Burglary in 3rd degree,
171,40.7509,-73.9735,CUNY,5/1/24,Burglary in 3rd degree,
172,40.7509,-73.9735,CUNY,5/1/24,Burglary in 3rd degree,
173,40.7509,-73.9735,CUNY,5/1/24,Burglary in 3rd degree,
177,40.7509,-73.9735,CUNY,5/1/24,Burglary in 3rd Degree,
179,40.7509,-73.9735,CUNY,5/1/24,Burglary in 3rd Degree,
92,40.7509,-73.9735,Cuny,5/1/24,"Burglary in 3rd Degree

",
93,40.7509,-73.9735,Cuny,5/1/24,"Burglary in 3rd Degree

",
166,40.7509,-73.9735,CUNY,5/1/24,Burglary in 3rd degree/obstruction gov instruction,
74,40.7509,-73.9735,Cuny,5/1/24,resisting arrest/assault,
50,40.8615,-73.9735,Fordham,5/1/24,Trespass,
51,40.8615,-73.9735,Fordham,5/1/24,Trespass,
52,40.8615,-73.9735,Fordham,5/1/24,Trespass,
53,40.8615,-73.9735,Fordham,5/1/24,Trespass,
54,40.8615,-73.9735,Fordham,5/1/24,Trespass,
55,40.8615,-73.9735,Fordham,5/1/24,Trespass,
56,40.8615,-73.9735,Fordham,5/1/24,Trespass,
57,40.8615,-73.9735,Fordham,5/1/24,Trespass,
58,40.8615,-73.9735,Fordham,5/1/24,Trespass,
59,40.8615,-73.9735,Fordham,5/1/24,Trespass,
60,40.8615,-73.9735,Fordham,5/1/24,Trespass,
61,40.8615,-73.9735,Fordham,5/1/24,Trespass,
62,40.8615,-73.9735,Fordham,5/1/24,Trespass,
63,40.8615,-73.9735,Fordham,5/1/24,Trespass,
64,40.8615,-73.9735,Fordham,5/1/24,Trespass,